"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 21:35:43 GMT 2024","Tue Jul 16 21:35:46 GMT 2024","3274","tests","test_login_page","","","","Positiv login testing",""
"passed","Tue Jul 16 21:35:40 GMT 2024","Tue Jul 16 21:35:43 GMT 2024","3194","tests","test_login_page","","","","Negative login testing",""
